Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"71028-12","Collectable Minifigures","Harry Potter Series 2",2020,"Bellatrix Lestrange",1,7,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,6.0000,5.4100,"",""
"71033-6","Collectable Minifigures","The Muppets Series",2022,"Miss Piggy",1,4,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.7000,4.1600,"",""
"21338-1","Ideas","",2023,"A-Frame Cabin",4,2082,159.99,179.99,239.99,179.99,5702017417448,673419376259,47.5,37.5,10.8,2.495,"",0,0,0,,0,0,,,,,,,,,157.4600,130.0000,"01/02/2023","31/12/2025"
"5002938-1","Star Wars","Rebels",2015,"Stormtrooper Sergeant",1,5,,,,,,673419235631,,,,,"",0,0,0,,0,0,,,,,,,,,12.0400,8.8500,"",""
"60021-1","City","Cargo",2013,"Cargo Heliplane",3,393,34.99,44.99,59.99,,5702014974098,673419191159,38.2,26.2,7.1,0.79,"",0,0,0,,0,0,,,,,,,,,99.2200,37.8200,"01/06/2013","31/12/2014"
"60159-1","City","Jungle",2017,"Jungle Halftrack Mission",2,378,24.99,39.99,44.99,29.99,5702015866255,673419264945,28.194,26.2128,7.5946,0.5579181,"",0,0,0,,0,0,,,,,,,,,47.2800,26.0400,"01/06/2017","31/12/2018"
"60225-1","City","Mars Exploration",2019,"Rover Testing Drive",2,202,17.99,29.99,39.99,19.49,5702016369953,,26,18.9,6,0.363,"",0,0,0,,0,0,,,,,,,,,27.1100,14.5000,"01/06/2019","31/12/2020"
"76076-1","Marvel Super Heroes","Avengers",2017,"Captain America Jet Pursuit",3,160,19.99,19.99,24.99,24.99,,673419266444,26.2128,19.1008,6.096,0.3492658,"",0,0,0,,0,0,,,,,,,,,48.5100,24.1000,"01/01/2017","31/07/2018"
"30472-1","Creator","Promotional",2016,"Parrot",,43,,,,,5702015608688,,17,17,0.9,,"",0,0,0,,0,0,,,,,,,,,3.9500,2.7200,"01/01/2016","31/12/2016"
"6030-1","Castle","Black Falcons",1984,"Catapult",2,83,,6,,,,042884060305,,,,,"",0,0,0,,0,0,,,,,,,,,382.5000,34.0800,"",""
"4480-1","Star Wars","Episode VI",2003,"Jabba's Palace",6,231,27.99,30,,,5702014261372,673419017572,28.8,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,299.5000,171.4400,"01/01/2003","31/12/2004"
"71033-11","Collectable Minifigures","The Muppets Series",2022,"The Swedish Chef",1,6,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3600,3.8700,"",""
"40517-1","Creator","Miscellaneous",2022,"Vespa",,118,8.99,9.99,12.99,9.99,5702017166186,673419359580,15.7,14.1,4.5,,"",0,0,0,,0,0,,,,,,,,,13.8200,5.9900,"01/03/2022","31/12/2024"
"30625-1","Star Wars","Promotional",2022,"Luke Skywalker with Blue Milk",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,41.5200,41.9900,"",""
"60263-1","City","Deep Sea Explorers",2020,"Ocean Mini-Submarine",1,41,8.99,9.99,13.99,9.99,5702016617979,673419319317,5.5,13.9,6,0.128,"",0,0,0,,0,0,,,,,,,,,11.7200,9.0700,"01/06/2020","31/12/2021"
"40608-1","Miscellaneous","VIP Add On Pack",2023,"Halloween Fun VIP Add-On Pack",1,118,,,,,5702017471198,,20,19.5,2.9,0.093,"",0,0,0,,0,0,,,,,,,,,8.0800,8.5000,"01/09/2023","31/12/2023"
"60345-1","City","Farm",2022,"Farmers Market Van",3,310,24.99,44.99,59.99,29.99,5702017161693,,28,26,5.8,0.55,"",0,0,0,,0,0,,,,,,,,,29.2300,18.0000,"01/06/2022","31/12/2022"
"8404-1","City","Town",2010,"Public Transport Station",6,864,81.99,99.99,139.99,,5702014518698,,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,230.9400,106.0900,"01/08/2010","31/12/2011"
"71019-3","Collectable Minifigures","The LEGO Ninjago Movie Series",2017,"Lloyd",1,9,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,7.5800,4.1300,"01/08/2017","31/12/2017"
"60102-1","City","Airport",2016,"Airport VIP Service",4,364,44.99,49.99,59.99,49.99,5702015591676,673419247948,38.2016,26.2128,7.0612,0.8073938,"",0,0,0,,0,0,,,,,,,,,113.0800,48.8500,"01/06/2016","31/12/2017"
"41616-1","BrickHeadz","Wizarding World",2018,"Hermione Granger",,127,9.99,9.99,12.99,9.99,5702016110548,673419282451,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,38.3400,21.3900,"01/07/2018","31/12/2018"
"6712-1","Western","Cowboys",1996,"Sheriff's Showdown",2,28,,4,,,5702010967124,042884067120,14.4,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,51.5000,17.0700,"01/09/1996","31/12/1998"
"76407-1","Harry Potter","Prisoner of Azkaban",2022,"The Shrieking Shack & Whomping Willow",7,777,79.99,89.99,119.99,89.99,5702017189987,673419361828,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,65.2000,48.6100,"01/06/2022","31/12/2024"
"31122-1","Creator","3 in 1",2021,"Fish Tank",,352,24.99,29.99,39.99,29.99,5702016973778,673419345002,35.2,18.9,5.6,0.578,"",0,0,0,,0,0,,,,,,,,,42.6400,35.4500,"01/06/2021","31/12/2022"
"42125-1","Technic","Licensed",2021,"Ferrari 488 GTE 'AF Corse #51'",,1677,169.99,199.99,249.99,199.99,5702016913484,673419340090,48,37.8,11.2,,"",0,0,0,,0,0,,,,,,,,,140.5300,111.9500,"01/01/2021","31/12/2023"
"4441-1","City","Forest Police",2012,"Police Dog Van",2,313,19.99,34.99,44.99,,5702014830301,673419165280,38.2,26.19,5.64,0.55,"",0,0,0,,0,0,,,,,,,,,49.0300,17.7100,"",""
"71010-17","Collectable Minifigures","Series 14 - Monsters",2015,"LEGO Minifigures - Series 14 - Monsters - Complete",16,86,,,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,,,"01/09/2015","31/12/2015"
"76082-1","Marvel Super Heroes","Spider-Man: Homecoming",2017,"ATM Heist Battle",3,185,19.99,19.99,24.99,24.99,5702015868679,673419267007,26.2128,19.1008,6.096,0.3538018,"",0,0,0,,0,0,,,,,,,,,30.4000,22.0200,"01/06/2017","31/12/2018"
"71028-4","Collectable Minifigures","Harry Potter Series 2",2020,"Ron Weasley",1,6,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,3.9800,2.7400,"",""
"30397-1","Disney","Frozen",2016,"Olaf's Summertime Fun",1,48,,,,,5702015607957,,17,19.5,1,,"",0,0,0,,0,0,,,,,,,,,6.6500,4.5500,"01/01/2016","31/12/2016"
"7571-1","Prince of Persia","The Sands of Time",2010,"The Fight for the Dagger",4,258,29.99,29.99,39.99,,5702014601741,673419129404,38.2,26.19,5.64,0.49,"",0,0,0,,0,0,,,,,,,,,67.1700,59.0000,"01/04/2010","31/12/2010"
"21022-1","Architecture","Landmark Series",2015,"Lincoln Memorial",,274,24.99,29.99,39.99,29.99,5702015354318,,26.2,19.1,4.6,0.33,"",0,0,0,,0,0,,,,,,,,,85.7600,47.0900,"01/01/2015","31/12/2016"
"71009-17","Collectable Minifigures","The Simpsons Series 2",2015,"LEGO Minifigures - The Simpsons Series 2 - Complete",16,78,2.49,,3.99,2.99,,,11.9888,8.9916,0.2032,0,"",0,0,0,,0,0,,,,,,,,,,,"01/05/2015","31/08/2015"
"71033-4","Collectable Minifigures","The Muppets Series",2022,"Gonzo",1,4,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.2500,4.0700,"",""
"71033-10","Collectable Minifigures","The Muppets Series",2022,"Statler",1,6,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0600,3.9000,"",""
"80103-1","Seasonal","Chinese Traditional Festival",2019,"Dragon Boat Race",15,643,44.99,49.99,59.99,49.99,5702016615456,673419317610,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,55.2400,49.9900,"01/05/2019","31/12/2019"
"7903-1","City","Medical",2006,"Rescue Helicopter",3,249,14.99,19.99,,,5702014469969,673419080064,28.8,24,6,0.41,"",0,0,0,,0,0,,,,,,,,,76.1000,23.3200,"01/01/2006","31/12/2007"
"40358-1","Promotional","Target",2018,"Bean There, Donut That",4,146,,19.99,,,,673419306010,19,14,4.5,,"",0,0,0,,0,0,,,,,,,,,20.6800,13.9300,"01/10/2018","31/12/2018"
"76046-1","DC Comics Super Heroes","Batman v Superman: Dawn of Justice",2016,"Heroes of Justice: Sky High Battle",5,517,54.99,59.99,74.99,69.99,,673419250375,38.2016,26.2128,7.0612,0.7491,"",0,0,0,,0,0,,,,,,,,,53.0200,38.3600,"01/01/2016","31/12/2016"
"70413-1","Pirates","",2015,"The Brick Bounty",7,745,79.99,99.99,119.99,99.99,5702015352352,673419231503,48.006,37.7952,9.398,1.69,"",0,0,0,,0,0,,,,,,,,,280.7200,207.9300,"01/01/2015","31/12/2015"
"40466-1","BrickHeadz","Seasonal",2021,"Chinese New Year Pandas",,249,17.99,19.99,24.99,19.99,5702016910704,673419337908,19,14,7,0.267,"",0,0,0,,0,0,,,,,,,,,18.7000,8.3400,"01/01/2021","31/12/2022"
"75011-1","Star Wars","Planet Set",2013,"Tantive IV & Planet Alderaan",1,102,11.99,9.99,,,5702014974692,673419191340,14.1,19.1,8.8,0.15,"",0,0,0,,0,0,,,,,,,,,46.5700,23.9100,"01/01/2013","31/12/2013"
"8959-1","Power Miners","",2009,"Claw Digger",2,197,15.65,19.99,,,,673419112796,28.2,26.2,7.6,0.45,"",0,0,0,,0,0,,,,,,,,,82.4100,25.9100,"01/01/2009","31/12/2009"
"71027-1","Collectable Minifigures","Series 20",2020,"Piñata Boy",1,9,,4.99,,,5702016619423,673419319379,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,7.6200,6.7700,"",""
"75338-1","Star Wars","Andor",2022,"Ambush on Ferrix",3,679,69.99,69.99,89.99,79.99,5702017189635,673419361705,28.2,26.2,9.6,,"",0,0,0,,0,0,,,,,,,,,66.0500,49.6400,"01/08/2022","31/12/2023"
"42053-1","Technic","Licensed",2016,"Volvo EW160E",,1166,74.99,119.99,149.99,89.99,5702015592055,673419248761,35.4,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,179.1200,94.4500,"01/08/2016","31/12/2017"
"71020-17","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"General Zod",1,5,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,3.5300,3.3000,"01/01/2018","31/03/2018"
"71020-12","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Killer Moth",1,6,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,4.1600,3.2200,"01/01/2018","31/03/2018"
"71033-3","Collectable Minifigures","The Muppets Series",2022,"Beaker",1,5,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,145.9000,4.3900,"",""
"6668-1","Town","Maintenance",1992,"Recycle Truck",1,109,,9.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,105.4300,16.4200,"",""
"40122-1","Seasonal","Halloween",2015,"Trick or Treat Halloween Set",2,133,8.49,9.99,11.99,9.99,5702015355469,673419232746,14,12,6.2,,"",0,0,0,,0,0,,,,,,,,,25.4300,29.3300,"01/09/2015","31/12/2016"
"71022-22","Collectable Minifigures","Harry Potter Series",2018,"Percival Graves",1,8,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,24.3400,15.3400,"01/08/2018","31/12/2018"
"6669-1","Town","Vehicles",1991,"Diesel Daredevil",1,90,,8.75,,,5702010966691,042884066697,,,,,"",0,0,0,,0,0,,,,,,,,,85.0000,9.6200,"",""
"4706-1","Harry Potter","Philosopher's Stone",2001,"Forbidden Corridor",3,238,24.99,30,,,5702012016646,042884047061,28.8,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,68.7500,41.5100,"01/10/2001","31/12/2003"
"10223-1","Castle","Kingdoms",2012,"Kingdoms Joust",9,1575,99.99,119.99,149.99,,5702014847958,673419169431,58.2,37.8,8.7,1.38,"",0,0,0,,0,0,,,,,,,,,340.6200,328.6100,"01/01/2012","31/12/2014"
"6662-1","Town","Construction",1992,"Backhoe",1,85,,7.25,,,5702010966622,,,,,,"",0,0,0,,0,0,,,,,,,,,64.7500,12.9600,"",""
"10706-1","Classic","Creative Box",2017,"Blue Creative Box",,78,4.99,4.99,6.99,4.99,,673419267380,12.192,9.0932,7.7978,0.113398,"",0,0,0,,0,0,,,,,,,,,4.5200,2.3700,"01/01/2017","31/12/2018"
"60026-1","City","Town",2013,"Town Square",9,914,79.99,119.99,149.99,,5702014974234,673419191289,47.5,37.5,10.7,1.8,"",0,0,0,,0,0,,,,,,,,,147.1400,105.0000,"01/06/2013","31/12/2014"
"60145-1","City","Racing",2017,"Buggy",1,81,7.99,9.99,12.99,9.99,5702015865692,673419264648,15.6972,14.097,6.096,0.1542213,"",0,0,0,,0,0,,,,,,,,,13.9000,5.7200,"",""
"71019-13","Collectable Minifigures","The LEGO Ninjago Movie Series",2017,"Shark Army Angler",1,7,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,4.5200,3.3500,"01/08/2017","31/12/2017"
"76195-1","Marvel Super Heroes","Spider-Man: Homecoming",2021,"Spider-Man's Drone Duel",2,198,17.99,19.99,24.99,19.99,5702016913231,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,17.2700,10.1200,"01/10/2021","31/12/2022"
"60023-1","City","Traffic",2013,"LEGO City Starter Set",5,272,19.99,29.99,39.99,,5702014974197,673419191241,28.194,26.1874,6.4008,0.55,"",0,0,0,,0,0,,,,,,,,,65.0000,15.3900,"01/06/2013","31/12/2014"
"10714-1","Classic","Baseplates",2018,"Blue Baseplate",,1,7.99,7.99,9.99,8.99,5702016111927,673419283380,26,26.5,0.3,0.1,"",0,0,0,,0,0,,,,,,,,,6.5700,5.5900,"",""
"40495-1","BrickHeadz","Wizarding World",2021,"Harry, Hermione, Ron & Hagrid",,466,21.99,24.99,34.99,24.99,5702016995985,673419345545,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,25.0500,17.5000,"01/06/2021","31/12/2023"
"79109-1","The Lone Ranger","",2013,"Colby City Showdown",5,587,39.99,49.99,59.99,,5702014972551,673419190268,38.2,26.2,7.1,1.01,"",0,0,0,,0,0,,,,,,,,,94.1900,72.8900,"15/04/2013","31/12/2013"
"7163-1","Star Wars","Episode II",2002,"Republic Gunship",8,686,79.99,90,,,5702014151857,673419010313,57.6,38.4,7.2,,"",0,0,0,,0,0,,,,,,,,,1000.0000,390.0900,"23/04/2002","31/12/2003"
"71245-1","Dimensions","Level Pack",2016,"Adventure Time Level Pack",1,102,29.99,29.99,29.99,29.99,5051892197281,,21.5,21,4.9,,"",0,0,0,,0,0,,,,,,,,,51.7700,40.2900,"27/09/2016","31/12/2017"
"60155-1","City","Seasonal",2017,"City Advent Calendar",6,248,19.99,29.99,39.99,19.99,5702015866019,673419264334,38.2016,26.2128,7.0612,0.4354483,"",0,0,0,,0,0,,,,,,,,,27.8000,15.0000,"01/09/2017","31/12/2017"
"75045-1","Star Wars","The Clone Wars",2014,"Republic AV-7 Anti-Vehicle Cannon",4,434,44.99,39.99,49.99,49.99,5702015122375,,28.194,26.1874,7.5946,0.62,"",0,0,0,,0,0,,,,,,,,,259.8900,151.3200,"01/01/2014","31/12/2015"
"31028-1","Creator","3 in 1",2015,"Sea Plane",,53,4.99,4.99,6.99,4.99,5702015348096,673419229913,12.192,9.0932,4.699,0.07264,"",0,0,0,,0,0,,,,,,,,,8.5500,3.3200,"",""
"30250-1","Legends of Chima","Promotional",2013,"Ewar's Acro Fighter",1,33,,3.99,,,5702014976368,673419192286,14,14,0.8,,"",0,0,0,,0,0,,,,,,,,,4.1400,2.2700,"01/01/2013","31/12/2013"
"60024-1","City","Seasonal",2013,"City Advent Calendar",8,244,19.99,29.99,39.99,,5702014974203,673419191258,38,26,6.8,0.38,"",0,0,0,,0,0,,,,,,,,,37.5600,15.9300,"",""
"71020-13","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Wonder Twin (Jayna)",1,7,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,4.4600,3.2100,"01/01/2018","31/03/2018"
"6852-1","Space","Space Police 2",1993,"Sonar Security",1,61,,6,,,5702010968527,,,,,,"",0,0,0,,0,0,,,,,,,,,106.0100,12.8600,"",""
"41600-1","BrickHeadz","DC Comics Super Heroes",2018,"Aquaman",,135,9.99,9.99,12.99,9.99,5702016072655,673419279598,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,16.7600,19.1300,"01/01/2018","31/08/2018"
"71033-9","Collectable Minifigures","The Muppets Series",2022,"Waldorf",1,6,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.8600,4.2000,"",""
"6887-1","Space","Blacktron 2",1991,"Allied Avenger",1,100,,7.93,,,5702010968879,,,,,,"",0,0,0,,0,0,,,,,,,,,208.5000,36.0400,"",""
"71030-6","Collectable Minifigures","Looney Tunes Series",2021,"Sylvester the Cat",1,6,,4.99,,3.99,5702016912401,673419339469,9.5,15,0.7,,"",0,0,0,,0,0,,,,,,,,,5.3000,4.1100,"26/04/2021","31/08/2021"
"40562-1","Creator","3 in 1",2022,"Mystic Witch",,257,,,,,5702017241821,,19.1,26.2,4.6,0.328,"",0,0,0,,0,0,,,,,,,,,15.3200,7.0000,"14/10/2022","31/12/2022"
"76072-1","Marvel Super Heroes","Mighty Micros",2017,"Mighty Micros: Iron Man vs. Thanos",2,94,8.99,9.99,12.99,9.99,,673419266413,12.192,14.097,4.5974,0.08618248,"",0,0,0,,0,0,,,,,,,,,31.9500,10.8300,"01/01/2017","31/12/2017"
"4711-1","Harry Potter","Philosopher's Stone",2002,"Flying Lesson",2,23,2.99,4,,,,673419010139,9.6,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,22.3300,9.6700,"01/01/2002","31/12/2003"
"71020-11","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Soccer Mom Batgirl",1,8,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,4.6700,3.6500,"01/01/2018","31/03/2018"
"71349-1","Dimensions","Fun Pack",2017,"Beetlejuice Fun Pack",1,56,14.99,14.99,14.99,14.99,,,17.2,19,4.9,,"",0,0,0,,0,0,,,,,,,,,35.5300,28.1100,"12/09/2017","30/04/2018"
"40477-1","BrickHeadz","Disney",2021,"Scrooge McDuck, Huey, Dewey & Louie",,340,21.99,24.99,34.99,24.99,5702016961249,673419344708,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,28.3100,5.9900,"01/06/2021","31/12/2023"
"75874-1","Speed Champions","Chevrolet",2016,"Chevrolet Camaro Drag Race",3,445,29.99,29.99,39.99,34.99,,673419247214,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,131.8100,45.5600,"01/03/2016","31/12/2017"
"71033-1","Collectable Minifigures","The Muppets Series",2022,"Rowlf the Dog",1,7,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.6600,3.8000,"",""
"76832-1","Disney","Lightyear",2022,"XL-15 Spaceship",3,497,44.99,49.99,64.99,49.99,5702017152417,673419355414,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,40.5300,26.1200,"24/04/2022","31/12/2023"
"76179-1","DC Comics Super Heroes","The Batman",2022,"Batman & Selina Kyle Motorcycle Pursuit",2,149,12.99,14.99,19.99,14.99,5702016911664,,,,,,"",0,0,0,,0,0,,,,,,,,,14.5100,9.7700,"",""
"71030-5","Collectable Minifigures","Looney Tunes Series",2021,"Tweety Bird",1,10,,4.99,,3.99,5702016912401,673419339469,9.5,15,0.7,,"",0,0,0,,0,0,,,,,,,,,5.0800,3.6200,"26/04/2021","31/08/2021"
"4478-1","Star Wars","Episode II",2003,"Geonosian Fighter",4,170,19.99,20,,,5702014259409,,28.8,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,197.7100,93.4400,"01/01/2003","31/12/2004"
"5001623-1","DC Comics Super Heroes","Man of Steel",2013,"Jor-El",1,5,,,,,,673419200141,,,,,"",0,0,0,,0,0,,,,,,,,,11.7200,9.7200,"",""
"79110-1","The Lone Ranger","",2013,"Silver Mine Shootout",5,644,69.99,69.99,89.99,,5702014972568,673419190275,35.4,37.8,9.4,1.34,"",0,0,0,,0,0,,,,,,,,,127.9400,101.7300,"15/04/2013","31/12/2013"
"71030-12","Collectable Minifigures","Looney Tunes Series",2021,"Porky Pig",1,8,,4.99,,3.99,5702016912401,673419339469,9.5,15,0.7,,"",0,0,0,,0,0,,,,,,,,,5.0400,3.6500,"26/04/2021","31/08/2021"
"71020-15","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Apache Chief",1,5,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,4.7200,3.8200,"01/01/2018","31/03/2018"
"75201-1","Star Wars","Episode VIII",2018,"First Order AT-ST",4,370,54.99,39.99,49.99,59.99,5702016109955,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,62.1100,47.7900,"01/01/2018","31/12/2018"
"76145-1","Marvel Super Heroes","Eternals",2021,"Eternals' Aerial Assault",2,133,8.99,9.99,13.99,9.99,5702016831337,673419333900,0,0,0,0,"",0,0,0,,0,0,,,,,,,,,6.4000,4.0000,"01/10/2021","31/12/2022"
"41598-1","BrickHeadz","DC Comics Super Heroes",2018,"The Flash",,122,9.99,9.99,12.99,9.99,5702016072631,673419279574,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,26.0000,16.8400,"01/01/2018","31/08/2018"
"30161-1","DC Comics Super Heroes","Batman",2012,"Batmobile",,45,,4,,,5702014858626,673419184458,17,17,1.5,,"",0,0,0,,0,0,,,,,,,,,7.2700,3.4200,"01/01/2012","31/12/2013"
"71020-14","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Wonder Twin (Zan)",1,8,,3.99,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,3.6900,3.1000,"01/01/2018","31/03/2018"
"71028-1","Collectable Minifigures","Harry Potter Series 2",2020,"Harry Potter",1,8,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,4.9800,2.8600,"",""
"71020-1","Collectable Minifigures","The LEGO Batman Movie Series 2",2018,"Friends are Family Harley Quinn",1,7,,3.99,,,5702016109306,673419281119,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,6.4500,3.5300,"01/01/2018","31/03/2018"
"30571-1","Creator","Promotional",2019,"Pelican",,62,3.99,3.99,,3.89,5702016373080,,17,17,1,0.038,"",0,0,0,,0,0,,,,,,,,,4.7200,2.1700,"01/01/2019","31/12/2019"
"40408-1","Hidden Side","Promotional",2020,"Drag Racer",2,134,,12.99,16.99,,5702016656688,,15.7,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,9.5700,6.1600,"20/01/2020","31/12/2020"
"6538-1","Town","Vehicles",1994,"Rebel Roadster",1,57,,4.5,,,5702010965380,,,,,,"",0,0,0,,0,0,,,,,,,,,42.0000,7.1900,"",""
"21018-1","Architecture","Landmark Series",2013,"United Nations Headquarters",,597,49.99,49.99,59.99,49.99,5702014973114,673419190718,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,125.8500,67.6100,"01/10/2013","31/12/2015"
"41027-1","Friends","General",2014,"Mia's Lemonade Stand",1,112,9.99,9.99,12.99,,5702015119429,673419207713,15.6972,14.097,4.4958,0.12,"",0,0,0,,0,0,,,,,,,,,14.0000,5.6000,"01/01/2014","31/12/2014"
"71236-1","Dimensions","Fun Pack",2016,"Superman Fun Pack",1,48,14.99,14.99,14.99,14.99,,,17.2,19,4.9,,"",0,0,0,,0,0,,,,,,,,,18.0300,12.3400,"15/03/2016","31/12/2017"
"4011-1","Boats","",1991,"Cabin Cruiser",2,90,,19.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,130.9000,25.1300,"",""
"7633-1","City","Construction",2009,"Construction Site",5,898,69.99,99.99,119.99,,5702014534445,673419112420,58.2,37.8,8.71,1.89,"",0,0,0,,0,0,,,,,,,,,227.3500,94.3700,"",""
"7998-1","City","Traffic",2007,"Heavy Hauler",1,332,34.99,34.99,,,5702014501973,673419093040,48,28.8,7.2,0.75,"",0,0,0,,0,0,,,,,,,,,104.8400,31.1200,"01/06/2007","31/07/2008"
"75180-1","Star Wars","Episode VII",2017,"Rathtar Escape",5,836,84.99,79.99,99.99,89.99,,673419267557,54.0004,28.194,7.8486,1.147588,"",0,0,0,,0,0,,,,,,,,,60.5200,50.5000,"01/06/2017","31/12/2018"
"30388-1","Star Wars","Episode VI",2021,"Imperial Shuttle",,85,,,,,5702016912050,673419338981,20,19.5,1.2,,"",0,0,0,,0,0,,,,,,,,,6.0100,4.0200,"01/01/2021","31/12/2021"
"71028-10","Collectable Minifigures","Harry Potter Series 2",2020,"Fred Weasley",1,6,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,6.1600,5.0400,"",""
"60300-1","City","Wildlife Rescue",2021,"Wildlife Rescue ATV",1,74,8.99,9.99,13.99,9.99,5702016911916,673419338721,15.6,14,4.3,0.117,"",0,0,0,,0,0,,,,,,,,,6.9300,9.5000,"01/06/2021","31/12/2022"
"71033-2","Collectable Minifigures","The Muppets Series",2022,"Dr. Bunsen Honeydew",1,4,3.49,4.99,,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,58.2000,46.9400,"",""
"6911-1","Creator","3 in 1",2012,"Mini Fire Truck",,69,4.99,5.99,8.99,,5702014829404,673419165198,10.2,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,9.2800,2.5100,"01/01/2012","31/12/2013"
"71028-7","Collectable Minifigures","Harry Potter Series 2",2020,"Lily Potter",2,6,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",0,0,0,,0,0,,,,,,,,,6.7200,5.0700,"",""
"71348-1","Dimensions","Fun Pack",2017,"Hermione Granger Fun Pack",1,64,14.99,14.99,14.99,14.99,5051892201186,,17.2,19,4.9,,"",0,0,0,,0,0,,,,,,,,,12.5100,6.0000,"09/05/2017","31/12/2017"
"60115-1","City","Racing",2016,"4 x 4 Off Roader",2,176,17.99,19.99,24.99,19.99,5702015594066,673419249867,26.2128,19.1008,6.096,0.33596,"",0,0,0,,0,0,,,,,,,,,25.1600,11.8100,"",""
"75098-1","Star Wars","Ultimate Collector Series",2016,"Assault on Hoth",15,2144,229.99,249.99,299.99,249.99,5702015352604,,58.1914,48.006,9.0932,2.96,"",0,0,0,,0,0,,,,,,,,,467.1800,418.0900,"01/05/2016","31/12/2017"
"70411-1","Pirates","",2015,"Treasure Island",3,181,17.99,19.99,24.99,19.99,5702015352338,673419231480,26.1874,19.1008,6.096,0.37,"",0,0,0,,0,0,,,,,,,,,97.7100,44.8100,"01/01/2015","31/12/2015"
"30163-1","Marvel Super Heroes","The Avengers",2012,"Thor and the Cosmic Cube",1,25,,4.99,,,5702014912663,673419181907,18,16,1,0.02,"",0,0,0,,0,0,,,,,,,,,9.9900,3.8000,"",""
